salary_max,salary_period,contract_type,published_at,name,education_level,updated_at,description,contract_duration_min,apply_url,experience_level,salary_min,remote,office.address,office.city,office.district,office.latitude,office.longitude,office.zip_code,profession.category.fr,organization.average_age,organization.creation_year,organization.default_language,organization.description,organization.industry
,none,INTERNSHIP,2023-12-19T10:38:42.309036Z,Data analyst Power BI (H/F) en Stage,,2023-12-19T10:38:42.316189Z,"Dans le cadre de sa campagne de stage AXA recrute un Data analyst Power BI (H/F) en Stage. Au sein de la Direction Commerciale d’AXA Santé & Collectives, l’équipe support au développement répond à l’enjeu de développement et de maintien des résultats, elle est en charge : - de piloter les budgets (financier, RH) et l'activité (performance commerciale) - de piloter et d'innover en terme de formation pour une montée en compétences permanente des équipes ou des apporteurs - de piloter ou contribuer à tout projet impactant la Direction commerciale (Résiliation A Tout Moment, dématérialisation des courriers, ...) - de créer un environnement de travail facilitateur pour les équipes commerciales : enjeux de sécurité informatique, dématérialisation des appels d’offres publics, modernisation des outils, ...)Rejoignez la Direction et contribuez à l'amélioration du pilotage de l’activité commerciale.La mission consiste, en relation avec les équipes commerciales et les autres Directions d’AXA Santé & Collectives à : - Comprendre les usages et les besoins métiers - Aider à la définition et la mise en œuvre d’indicateurs (KPI) - Conception et développement de nouveaux tableaux de bord compréhensibles et en relation avec les besoins des utilisateurs - Analyser les données afin de leur donner du sens - Contrôler la qualité des données - Accompagner le métier à recetter les solutions - Elaborer une documentation des travaux réalisés",,https://recrutement.axa.fr/nos-offres-emploi/23102700?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,,,partial,313 Terrasses de l'Arche ,Nanterre,Hauts-de-Seine,48.8965814,2.2237665,92727,Tech,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,FULL_TIME,2023-12-19T10:37:27.691431Z,Senior Business Data Analyst Operations,,2023-12-19T10:37:27.700366Z,"AXA IM est un gestionnaire d'actifs international faisant partie du groupe AXA, leader mondial de l’assurance. Notre équipe comprend de nombreuses compétences et expériences pour mieux répondre aux besoins de nos clients. Votre rôle de Business Data Analyst Operations sera rattaché au Head Of Data Referentials Operations et vous ferez partie du département  Data & Analytics Management. DECOUVREZ votre opportunité Le titulaire intègre l’équipe Data Referentials Operations, située au sein du département Data & Analytics Management, le centre d’expertise interne relativement à l’administration, à la qualité et à la gouvernance des données et des analytics. L’équipe Data Referentials Operations administre plusieurs référentiels de données centraux d’AXA IM. L’équipe gère le Security Master File, dédié à la création d’instruments, ainsi que le référentiel des portefeuilles et produits d’AXA IM. Egalement, l’équipe est en charge de la maintenance des définitions de benchmarks et de la collecte des niveaux et des constituants d’indices, ainsi que du référencement des entités tiers. Au-delà de sa contribution aux activités d’administration et de modélisation des données, le titulaire sera amené à participer aux efforts de gouvernance vis-à-vis de nos partenaires externes, par ex. auprès de State Street concernant l’externalisation de la collecte des prix ou encore auprès de Rimes concernant l’externalisation de la collecte des indices. Vos rôles et responsabilités :  Administration des référentiels de données Répondre aux demandes de support émanant des utilisateurs des données au sein d’AXA IM ; Assurer les créations et les mises à jour au sein des différents référentiels ; Travailler avec notre partenaire AXA GOBO à l’externalisation des tâches de production lorsque cela est possible et pertinent ; Superviser les tâches externalisées et effectuer le suivi des améliorations à y apporter ; Identifier les problèmes de qualité et d’intégrité de données, afin d’assurer la complétude, la consistance, et la précision des données reçues ; Contribuer à l’amélioration générale de la qualité des données et des analytics au sein des référentiels, en mettant en place des process d’acquisition de données adéquats et des contrôles sur ces données. Gouvernance Prendre part aux interactions et à la gouvernance entre l’équipe et certains partenaires externes (par ex. State Street ou Rimes), afin d’assurer un niveau de service en ligne avec les SLA en place relatifs aux activités externalisées ; Participer aux comités de gouvernance avec nos clients data internes ; Effectuer le suivi d’activité avec des tableaux de bord appropriés. #LI-JB1",,https://recrutement.axa.fr/nos-offres-emploi/2300090S?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,3_TO_4_YEARS,,partial,VILLE DE PUTEAUX,Puteaux,Hauts-de-Seine,48.87725,2.24416,92400,Tech,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,INTERNSHIP,2023-12-19T10:37:53.328763Z,Internship - Financial Data Analyst - (M/F) - January 2024,,2023-12-19T10:37:53.336023Z,"Whatever their stage of life, we provide over 108 million customers with the products and services they need to progress. From insurance to personal protection, and savings to wealth management, no matter the need we’re always there for them. And we’re always there for our employees. In 50 countries, we work hard to inspire pride and a sense of belonging in our people. To provide opportunities that challenge them, inspire them, and reward them. And to create a culture that’s open, supportive, and empowering. Because we know that’s the real secret to success – and the best way for us to keep building a better world for both our customers and the talented people who put them first.  Your work environment The headquarters of the AXA Group (GIE AXA)  brings together our corporate activities. It provides guidance and support to subsidiaries around the world, to ensure the coordination and monitoring of the Group's global strategy, the application of its standards, the consistency of commercial approaches and the sharing of best practices. The headquarters gathers approximately 1000 employees and is distinguished by its strong international culture (45 nationalities), which makes it a rich and stimulating place to work. The Alternative and Credit Team (ACT) is part of the Finance and Investment division which oversees and steers AXA Group investments. Main objective for the team is to define and ensure the proper deployment of AXA Group Investment Plan while maintaining the resilience of AXA Group’s balance sheet.  Main purpose The intern will gather and analyze financial and economic data to assess investment backdrop and opportunities. The intern will also maintain and improve the existing economic and financial databases and tools and may build new ones.  The intern will report to the Senior Credit Strategist and will work closely with other team members. Core activities   The main tasks for the internship: Gathering and analyzing economic and financial data from various sources (Central Banks, OECD, BIS, Bloomberg, etc…) Building, improving and updating databases and tools  Contributing to the economic and financial memos related to the investment strategy  ",,https://recrutement.axa.fr/nos-offres-emploi/230009AC?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,,,partial,VILLE DE PUTEAUX,Puteaux,Hauts-de-Seine,48.87725,2.24416,92400,Audit / Finance / Assurance,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
,none,FULL_TIME,2023-12-19T10:38:14.850013Z,Senior Claims Data Analyst  (H/F),,2023-12-19T10:38:14.861413Z,"Senior Claims Data Analyst (H/F)  DÉCOUVREZ votre opportunité  L'équipe que vous rejoindrez Vous rejoindrez notre équipe Sinistres au sein de la Business Unit APAC Europe chez AXA XL.  Le service au client est au cœur de nos activités. Le rôle des équipes Sinistres est de gérer les sinistres importants et complexes de nos entreprises clientes lorsqu'un sinistre survient, et nous conduisons le "" moment de vérité "" de l'assurance en tenant la promesse que nous avons faite lorsque nos clients ont signé leur contrat avec AXA XL. En coordonnant toutes les parties prenantes externes et internes pendant un sinistre, nous sommes fiers d'être des partenaires proactifs offrant un service personnalisé et axé sur la résolution grâce à notre expertise spécialisée. Ceci est reconnu par nos courtiers qui font régulièrement l'éloge de la qualité de notre service sinistres, leader sur le marché (par exemple, n°2 en Europe dans l'enquête Aon Voice for the Client H1 2022). Nous gérons un portefeuille d'environ 200 000 sinistres par le biais d'équipes locales, de deux centres de programmes mondiaux (Autriche et Hong Kong) et de deux centres de services partagés (Inde et Pologne). Nos polices couvrent plus de 30 branches d'activité et 14 pays, et elles sont souvent incluses dans des programmes couvrant plus de 200 pays.  Au sein de l'équipe Sinistres APAC Europe, notre objectif est de (i) piloter la stratégie et la transformation de nos activités en matière de sinistres dans l'ensemble de nos zones géographiques, (ii) soutenir les responsables des sinistres et leurs ~500 spécialistes des sinistres pour gérer les sinistres de nos entreprises clientes (en particulier sur les opérations, les données et les analyses et le service à la clientèle), et (iii) surveiller les sinistres et les activités de traitement des sinistres, ainsi que les risques et les contrôles qui y sont liés. Pour ce faire, nous travaillons en étroite collaboration sur les projets avec les responsables locaux des sinistres et leurs talents, ainsi qu'avec les centres d'excellence mondiaux des sinistres et les autres départements de la Business Unit APAC Europe (souscription, conseil en risques, opérations et technologie, finances, gestion des clients et des courtiers, stratégie, gestion des risques, RH…). Notre équipe internationale créée il y a 2 ans fonctionne avec des membres basés à Paris, Dublin, Madrid et Londres, et interagit avec des équipes à travers le monde notamment aux Etats-Unis (siège d'AXA XL). Ce que vous ferez Nous renforçons notre équipe avec un(e) Senior Claims Data Analysts exceptionnel(le). Vous serez rattaché(e) au responsable du service et de la transformation des sinistres, et vous aurez deux responsabilités principales : Sécuriser l'analyse de nos données sur une base mensuelle, trimestrielle et annuelle (au niveau APAC Europe et au niveau pays). Nous pensons que nous devons améliorer de manière significative la façon dont nous mesurons et analysons nos sinistres (pertes) et nos activités de sinistres, notamment parce que la compréhension de notre portefeuille de sinistres et l'amélioration de nos opérations sont cruciales pour la rentabilité d'AXA XL.  Pour y parvenir, votre rôle sera crucial : 
 vous devrez remettre en question et analyser un ensemble de données, comprendre les moteurs de changement et traduire votre analyse en commentaires pertinents pour nos parties prenantes senior. 
 Vous devrez comprendre en profondeur les spécificités et les réserves des indicateurs (définitions, portée, calcul, y compris les objectifs), des systèmes de gestion des sinistres et des outils d'information géographique. Pour être pertinente, votre analyse reposera sur des interactions structurées et fréquentes avec des experts de notre organisation, et vous serez responsable de la fiabilité des données.  Les métriques comprendront des indicateurs de performance clés liés à : (i) les activités liées aux sinistres et les initiatives du plan d'action (productivité, dépenses, économies, personnel, recouvrement, fraude, service des sinistres, conformité…), (ii) les données sur les sinistres (grands sinistres (causés par l'homme et Nat Cats) et sinistres attritionnels ; sinistres sensibles ; litiges ; crises (par ex. Covid19, conflit en Ukraine) et tendances (par ex. inflation)) et (iii) les opérations de sinistres (mesures liées aux processus de traitement des sinistres (par ex. délai moyen de la première réserve) et aux flux de données sur les sinistres). 
 Contribuer à la conduite du changement et à l'amélioration continue en matière d'analyse des données.  Nous pensons que notre organisation des sinistres doit évoluer pour mieux saisir et analyser les données, étant donné que dans le cadre de notre feuille de route de transformation, nous allons (devoir) avoir accès à de plus en plus de points de données. Par conséquent 
 vous devrez être un agent de changement au quotidien avec nos équipes Sinistres tout au long de leur parcours d'analyse des données : vous serez leur "" source unique de vérité "" pour les données dans le secteur Sinistres APAC Europe, 
 vous les aiderez à garantir la robustesse des données sur leur périmètre et à comprendre les moteurs d'analyse. En parallèle, vous contribuerez activement à notre parcours de données en travaillant en étroite collaboration avec nos parties prenantes mondiales en matière de sinistres et de données, par exemple en suggérant comment améliorer l'efficacité de nos processus de reporting (par exemple en limitant les entrées manuelles, en optimisant les flux de données) et comment donner la priorité aux développements informatiques et de données. Pour ces responsabilités, vous vous engagerez avec les parties prenantes au sein de Claims (y compris le Head of Claims Finance, les Country Heads of Claims et leurs équipes) et au-delà de Claims (par exemple, Finance, Underwriting, Risk management, si nécessaire).  
",,https://recrutement.axa.fr/nos-offres-emploi/22000C3I?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,5_TO_7_YEARS,,partial,RUE DE LA VICTOIRE ,Paris,Paris,48.87513,2.33789,75009,Relation client,41,1985,fr,"Avec 6 000 recrutements par an en France rejoignez AXA, un leader mondial de l’assurance et de la gestion d’actifs. Ils accompagnent plus de 93 millions de clients qui leurs font confiance pour leurs biens, leur famille, leurs collaborateurs, leur patrimoine ou les actifs de leur entreprise. Chaque jour, ils agissent ensemble pour vous protéger en donnant à chacun les moyens de vivre une vie meilleure.  Un challenge qui donne le sourire !","Banking, Insurance, FinTech / InsurTech"
1200,monthly,INTERNSHIP,2023-12-19T09:45:11.271982Z,STAGE - Data Analyst (H/F) - Paris,BAC_5,2023-12-19T09:45:11.271540Z,"En tant que stagiaire Data Analyst rattaché au Head of Customer Data, tu contribueras à la mise en place d’outils visant à : Optimiser les tâches quotidiennes des équipes Agriconomie.
 Développer et suivre des KPI pour identifier des insights business/clients.
 Améliorer les méthodes de scoring et d’analyse comportementale des clients.
 Proposer de nouveaux produits Agrico Services de monétisation de la data.
 Maintenir et participer à l’amélioration continue des outils existants.
 Les différents projets incluront : Collecte de données (Web scrapping, Requêtes API, Interrogation de bases SQL).
 Agrégation/cleaning/data prep.
 EDA et analyse métier.
 Data visualization : création de dashboards (Agriconomie / Agrico Ads / Agrico Strategy).
 Développement de POC d’applications multicouches.
",,https://careers.flatchr.io/vacancy/vq5r6pylzkv9ammv-stage-data-analyst-h-f-paris/apply?partner=67,1_TO_2_YEARS,1200,no,,Paris,Paris,48.82806,2.37923,75013,Business,30,2014,fr,"Agriconomie.com : Le site partenaire des agriculteurs européens 🌽🌾 Fondée en 2014 par trois jeunes entrepreneurs issus du secteur agricole, Agriconomie a révolutionné le secteur agricole en quelques années grâce à sa place de marché destinée aux approvisionnements agricoles. Depuis 2014, notre mission n’a pas changé. Réinventer la distribution agricole pour redonner de la valeur aux agriculteurs tout en les accompagnants dans les défis financiers, agronomiques et environnementaux qu’ils doivent relever au quotidien Agriconomie c’est aussi : Plus de 108m€ de chiffre d’affaires et 125.000 clients. Fin 2022, nous avons clôturé une levée de fonds de 60M€ afin de renforcer notre position de leader sur le marché européen. Et rien de tout cela n’aurait été possible sans les 110 AgricoS qui oeuvrent chaque jour pour changer la vie de nos clients. Nous sommes également présents en Belgique 🇧🇪, en Allemagne 🇩🇪, et en Espagne 🇪🇸 💪 Agriconomie c’est aussi une forte culture d’entreprise et des valeurs partagées : Clients First : Chaque actions, projets, décisions que nous prenons doit toujours aller dans l’intérêt de nos clients
 Les AgricoS au centre de l’organisation : S’améliorer chaque jour et faire grandir ses pairs pour que chacun ai un impact positif
 Daily Innovation : Innover pour améliorer le présent et créer l’avenir
 FFS : Le Fighting Spirit, c’est l’art de ne jamais rien lâcher !
",E-commerce
,yearly,INTERNSHIP,2023-12-18T23:45:31.747292Z,Stagiaire Data Analyst F/H,BAC_3,2023-12-18T23:45:31.746992Z,"Au sein de l'équipe Data, vous intervenez en tant que Data Analyst.A ce titre, vos missions sont les suivantes : Réaliser des visualisations de données (tableaux de bord) à partir de données présentes dans la plateforme Data Google BigQuery et ses outils (Looker Studio, Google Sheet), Identifier les sources de données nécessaires aux tableaux de bord et les manipuler (création de tables et de vues) afin de pouvoir créer des visualisations (graphiques, indicateurs,…) pour un utilisateur métier.Les compétences qui seront utiles pour ce stage python, SQL, pédagogie et curiosité.",3,https://offres.u-emploi.com/fr/annonce/2708247-stagiaire-data-analyst-fh-44470-carquefou?s_o=wttj#declareStep1,,,no,Place des Pleiades,Carquefou,Loire-Atlantique,47.28599,-1.45234,44470,Tech,43,2011,fr,"U IRIS est la Direction des Systèmes d’Information du Groupement Système U. Créée en 2011, elle regroupe aujourd’hui 540 personnes. Elle gère au quotidien l’ensemble de l’informatique des 1 600 points de vente et des entités logistiques (30 entrepôts) et commerciales du Groupement U. ","Mobile Apps, Software, Big Data"
,none,FULL_TIME,2023-12-18T23:00:39.026085Z,Data Analyst Dataiku H/F,,2023-12-18T23:00:39.037190Z,"Au sein d'une équipe dynamique, vous aurez à vous occuper de : Data Quality Management  : identification / formalisation des exigences de qualité, mise en place des contrôles et des modalités de suivi de la qualité des données nécessaire
 Data Preparation  : développement de flow de préparation, traitement des données afin d'extraire les données essentielles et optimiser les performances dans la data visualisation
 Data Vizualisation  : Le développement de dashboards mettant en évidence l'état de santé des bases de données sur différents axes (inventaire, état, résilience, backup, obsolescence, …)
 Data Sourcing  : La Conception et développement des pipelines d'ingestion de données depuis les data sources vers différents environnements de consommation des données (base de donnée relationnelle, base distribuée Elastic Search, stockage objet, topic de streaming, etc)
 Infrastructures IT  : connaissance générale sur les différentes solutions de production informatiques et leurs interactions (serveurs, réseaux, télécom, stockage, filtrage, répartition de charge, mainframe, virtualisation, docker, ITIL, ITSM, sécurité informatique, middleware, etc)
 Issu(e) d’une formation supérieure en informatique Bac+2 à Bac+5, vous justifiez d’une expérience significative d’au moins 3 ans (hors stage et alternance) au sein d’un département infrastructures. Vous êtes reconnu pour les compétences suivantes : Tableau  (Obligatoire) / PowerBI (optionnel)
 Dataiku  (Obligatoire)
 Langage SQL (sur PostgreSQL principalement / Oracle / MSSQL)
 Aisance consommation de données sur des systèmes distribués (Kafka, ELK, S3 storage)
 Connaissance en méta data management, type outil Talend Data Catalogue
 Aisance sur les outils agile scrum : Jira / Confluence
 Connaissance sur les outils CI/CD : Gitlab / Jenkins
 #LI-LT1",,https://www.extia-group.com/join-us/job-offer-9?utm_source=wttj,,,partial,,Paris,Paris,48.85718,2.34141,,Tech,31,2007,fr,"Société de conseil spécialisée dans les métiers de l’IT, du digital et de l’ingénierie , nous privilégions depuis notre création en 2007  une approche qui allie performance et bien-être au travail. Récompensée depuis 2012 par le label Great Place to Work®, cette conviction s’incarne au quotidien dans notre marque de fabrique : « D’abord qui, ensuite quoi »  ! Nous partons du « Qui », de la personne, de ses aspirations et ses talents, pour ensuite co-construire le « Quoi », un projet porteur de sens et de valeur ajoutée pour elle et pour Extia.  🎯 Cette vision de l’entreprise est aujourd’hui partagée par  plus de 2500 Extien·ne·s  en France et à l’international  qui accompagnent nos 250 clients dans la réalisation de leurs projets.","Specialised Engineering, IT / Digital, Strategy"
,none,FULL_TIME,2023-12-18T22:07:50.857215Z,Data Analyst Senior F/H,,2023-12-18T22:07:50.856937Z,"Dans le cadre d’un large projet interne de digitalisation, le groupe accompagne plusieurs centaines d’utilisateurs dans la prise en main d’une nouvelle solution CRM en cours de déploiement. En tant que Data Analyst Senior, vous êtes sous la direction du CRM Manager. Dans le cadre du déploiement d’une stratégie Data complète, vos responsabilités sont les suivantes :  Maintien et accroissement de la  qualité des données  créées dans le cadre de l’usage du CRM groupe. Suppression des doublons des comptes et contacts créés (corrections et mise en place de process) Optimisation de la complétude de la donnée  Importation des enrichissements de données  Veille au respect des règles légales et de sécurité de donnée (RGPD) Maintien et mise à jour des  référentiels  (en interaction avec les référents métiers)  Mapping des données internes et externes au projet et mise à disposition des solutions de collecte et de chargement des données Intégration des données  provenant de systèmes tiers intégrant le projet (Data Recovery)  Extraction, mapping des données, nettoyage et chargement des données Maintien et développement de l’ environnement BI  (Datalake, Cube BI), avec l'appui du prestataire BI  Mise à jour des rapports existants Construction des nouveaux rapports utiles aux métiers selon les expressions de besoins collectées en amont. Animation et pilotage d'une  cellule Data  composée : D’un(e) data steward junior D'un(e) data analyst en charge du data recovery",,https://jobs.smartrecruiters.com/EPSA/743999952431668-data-analyst-senior-f-h?oga=true,5_TO_7_YEARS,,partial,65 Rue d'Anjou,Paris,Paris,48.87455,2.32272,75008,Tech,33,2001,fr,"Le groupe EPSA, plateforme d’offres multiservices opérationnelles (en croissance continue depuis sa création), est à la recherche de talents singuliers pour répondre à son fort développement en France et à l’international (Pays-Bas, Allemagne, Belgique, Portugal, Italie, Espagne, États-Unis…) et soutenir ses ambitions de devenir l’acteur de référence sur les marchés européens du conseil en optimisation de la performance opérationnelle durable auprès des entreprises et des acteurs publics.","Organization / Management, Strategy, Change Management, Supply Chain"
,none,FULL_TIME,2023-12-18T17:20:22.158940Z,DATA ANALYST F/H,BAC_5,2023-12-18T17:20:22.158651Z,"Au sein du service Fidélisation et Relation Client, vous aurez pour mission principale de participer à l’amélioration continue de l’expérience Cdiscount sur l’ensemble du parcours d’achat (avant-vente, prise de commande, livraison, après-vente). Vous vous appuierez sur les bases de données pour construire les indicateurs pertinents qui permettront de mesurer l’efficacité des process existants et d’identifier les axes d’amélioration. Au quotidien, vous serez amené à :  • Mener des analyses exploratoires pour identifier des optimisations ou des axes de développement dans le parcours du client  • Définir et construire les indicateurs à suivre pour retranscrire et piloter l’expérience client • Accompagner les différentes équipes du service en leur fournissant les chiffres nécessaires au pilotage de leur activité (équipes Projet, Fidélisation, CRM, Process, Budget, Opération …) • Contribuer à la maintenance, l’amélioration et la documentation des travaux de l’équipe Data Analyse (dashboards, datasets, ...) • Proposer et tester des approches innovantes pour optimiser l’expérience client tout en justifiant un retour sur investissement (A/B testing)",,https://c-discount.contactrh.com/jobs/10425/42130868,2_TO_3_YEARS,,no,,Bordeaux (33),Gironde,44.88383,-0.55717,33000,Tech,38,1998,fr,"Cdiscount : Inventez tout, révélez-vous !  Cdiscount est une aventure du numérique français. Passée en 20 ans d’une start-up bordelaise au leader français du e-commerce, l’entreprise n’a eu de cesse de répondre aux attentes de ses clients. L’objectif ? Rendre possible l’accès aux biens (high-tech, électroménager, vins, décorations ou encore les jouets) et aux services (énergie, offres de voyages ou forfaits téléphoniques) au plus grand nombre en construisant une économie numérique, européenne, inclusive et responsable. Avec audace et engagement, les collaborateurs de Cdiscount œuvrent tous les jours pour proposer grâce à la technologie et l’innovation, une expérience client riche, humaine et fluide. Depuis 2011, l’entreprise offre une vitrine aux PME/TPE en France et à l’étranger et accompagne leur digitalisation grâce à sa marketplace. Ce qui lui permet de proposer plus de 60 millions de produits à ses 9 millions de clients. Conservant l’agilité de son modèle et forte de son positionnement de leader français, Cdiscount construit chaque jour le e-commerce d’aujourd’hui et de demain.","Logistics, SaaS / Cloud Services, E-commerce"
,none,FULL_TIME,2023-12-18T16:43:35.469824Z,Data Analyst,,2023-12-18T16:43:35.484114Z,"Context on the Data Integration Data is a cornerstone for Seyna. Data will allow us to differentiate ourselves from our competition and it will help us protect the future of our insurance company. This can only become true if our data is of high quality, and efficiently processed. We exchange with more partners daily: we receive data from the brokers and distributors that sell our products, then analyze and process it, before sharing our results and insights with our ecosystem. Exchanging data with our partners presents an increasing challenge as our business grows : increasing volume, data diversity, and increasingly diverse sources. The Data Integration Manager makes sure exchanging data with Seyna is as easy for our partners, while still meeting our internal requirements. She also owns the quality of the data - checking that the data we received is correct. Your Missions: As a Data Integration Manager you will : Help our partners with their data integration process (onboarding and run) Design custom APIs on a day-to-day basis, for each new partner integrating with Seyna Work with our Data Engineer to make the integration as easy as possible. Collect the partner’s data. If not fully automated, you integrate it yourself into Seyna’s ecosystem. Check data consistency regarding accounting & business rules (e.g. premium acquisition rate vs receipt emission, reinsurance cession rate, written premium vs receipt emission…) Automate the data quality process and make it more efficient Assist the team with the data monitoring and data analysis Shape the future of data integration at Seyna ! Our Current Stack Data integration Deployed on AWS with AWS CDK (IaC) Coded in Python",,,1_TO_2_YEARS,,partial,"10, Rue du Faubourg Montmartre, Paris",Paris,Paris,48.87235,2.34329,75009,Tech,34,2018,en,"Seyna’s vision is bold and long term - they are building the platform enabling the insurance industry to modernize the design, distribution, and management of insurance programs, all with the ultimate goal of enhancing customer protection. Seyna already empowers insurance brokers to grow their business. It provides a platform which combines tailor-made insurance products and advanced SaaS (Software as a Service). By building their business on Seyna’s platform, brokers can create unique and personalized insurance experiences, from underwriting to claims handling. The platform automates administrative and compliance tasks, freeing up brokers’ time to spend with policyholders. Seyna’s goal is to shift the €560Bn EU P&C market onto Seyna’s platform. And they’re off to a great start. The leadership team includes experienced operators from insurance and high growth technology companies. Seyna raised €47 million total investment from Global Founders Capital, White Star Capital, Elaia, Allianz and La Financière Saint James – including a record €33 million Series A in December 2021. Since its launch in 2019, when Seyna acquired an insurance company license, the platform has enabled over 100 insurance brokers who use Seyna to protect over 1 million policyholders. They have a very ambitious mission with tough problems to work on. It’ll only be possible if we have the best team. Join us !","Artificial Intelligence / Machine Learning, Insurance, FinTech / InsurTech"
