date_publication,type_contrat,intitule,description,secteur_activite,niveau_etudes,entreprise,description_entreprise,ville,code_postal,date_modif
2024-01-10T15:42:56Z,apprenticeship,Alternance – Data Analyst PowerBI & Power Automate,"Rattaché(e) à l’équipe Groupe Infrastructure/Assurance Qualité, vous travaillerez dans un contexte international à la  mise en œuvre d’indicateurs de performance . Responsabilités Principales : Analyse des Besoins : Travailler en étroite collaboration avec les parties prenantes du département pour comprendre leurs besoins spécifiques en termes d’indicateurs de performance. Organiser des réunions et des ateliers pour recueillir les attentes des utilisateurs. Identification des Sources de Données : Collaborer avec les équipes techniques pour identifier et extraire les données nécessaires à l’analyse des performances du département. Assurer la qualité et la fiabilité des sources de données utilisées. Développement de Rapports Power BI : Utiliser les fonctionnalités avancées de Power BI et Power Query pour créer des rapports interactifs et visuellement attrayants. Assurer la cohérence et l’exactitude des données présentées dans les rapports. Intégration d’Indicateurs de Performance : Intégrer les indicateurs de performance clés définis dans les rapports Power BI. Veiller à ce que les rapports offrent une vue exhaustive des performances, en mettant en évidence les domaines critiques et les tendances significatives. Personnalisation des Rapports : Personnaliser les rapports en fonction des besoins spécifiques de chaque équipe au sein du département. Assurer la flexibilité des rapports pour permettre des analyses approfondies. Formation des Utilisateurs Finaux : Dispenser des formations aux utilisateurs finaux pour assurer une utilisation optimale des rapports Power BI. Fournir un support continu pour résoudre les problèmes et répondre aux questions. Automatisation des Processus : Mettre en place des flux Power Automate pour automatiser des tâches récurrentes, générer des rapports Power BI selon un calendrier prédéfini. Environnement technique  : Monde des serveurs et des réseaux, Cloud AWS, nombreux outils d’administration, de supervision, AD,…","Mobile Apps, Artificial Intelligence / Machine Learning, SaaS / Cloud Services",,le1817,"le1817 Start-up issue d’un grand groupe industriel, le1817 est l’atelier d’innovation digitale par excellence. Concrètement, nous délivrons des solutions digitales innovantes pour les grandes entreprises qui ont une histoire et qui doivent se transformer. Notre savoir-faire : D’abord, comprendre l’histoire et les besoins de nos clients, ce qui est notre force par nature Ensuite, identifier et utiliser les meilleures technologies, usages et compétences pour créer des solutions uniques Enfin, délivrer et soutenir les solutions pour les business et les équipes. Nous créons le maximum de valeur numérique pour nos clients en leur permettant d’intégrer pleinement l’ère digitale ! le1817, une équipe dynamique, compétente et chaleureuse (même par mauvais temps ;)) composée d’une vingtaine d’hommes et de femmes passionnés. Notre équipe s’organise autour de pôles de compétences variés et complémentaires, dans tous les domaines couverts par le1817 : dev factory, data factory, expérience client, app industrielles et commerciales…",Lyon,,2024-01-10T15:42:58Z
2024-01-10T14:42:55Z,full_time,Senior Data Analyst Safer Gaming H/F,"ENTER THE GAME Tu rejoindras l’équipe Data Analytics, qui fait partie d’une équipe Data plus large qui comprend également les équipes Data Science, Data Product Management et Product Analytics. La mission de l’équipe Analytics est de développer l’activité en identifiant les insights pertinents et les opportunités à forte valeur ajoutée. Tu intégreras une équipe en pleine croissance de plus 30 personnes passionnées qui relèvent des défis de toutes sortes : de l’analyse des campagnes de marketing à la construction de segmentations complexes de la clientèle, en passant par la prédiction du résultat du prochain match de football. YOUR ROLE WITHIN BETCLIC Tu rejoindras l’équipe Safer Gaming Analytics dont le rôle est d’aider à améliorer la détection et la prévention du jeu problématique, une thématique à laquelle Betclic accorde une importance particulière. En relation directe avec une équipe Safer Gaming en pleine croissance, tes analyses contribueront à définir la stratégie long-terme du département et à en mesurer l’impact sur l’accompagnement des joueurs. Dans ce contexte, tes missions seront les suivantes :   Travailler en collaboration avec le Directeur Safer Gaming et les Chefs de Projets pour comprendre leurs défis et les aider à optimiser leur activité Fournir des analyses basées sur la DATA dans le but de fournir des recommandations pertinentes et actionnables qui auront un impact direct sur le produit Identifier les opportunités à forte valeur ajoutée  Développer des outils de prise de décision dans un environnement respectueux de la vie privée Quelques exemple d’analyses récentes : Comment améliorer la vitesse et la pertinence de la détection des comportements de jeu à risque ? Comment monitorer et optimiser l’impact de la stratégie Safer Gaming sur nos joueurs à risque ? Comment prévenir le développement de comportements à risque auprès de notre base de joueurs ?",Mobile Apps,,Betclic Group,"Betclic est une société tech de jeu en ligne et leader du pari sportif dans plusieurs pays Européens. Tous les jours Betclic s’engage à satisfaire la passion du sport en fournissant la meilleure expérience de divertissement à ses joueurs grâce à des technologies de pointe innovantes qui leur assurent un environnement de jeu sûr et sain.  Betclic, dont le siège français est à Bordeaux, est une entreprise multiculturelle et internationale comptant près de 950 collaborateurs répartis dans 5 pays d’Europe : France, Italie, Malte, Pologne, et Portugal.   L’univers du sport et du jeu te fait vibrer ? Tu aimes les défis et participer à l’effort collectif ? Rejoins l’aventure ! ",Bordeaux,,2024-01-10T14:42:57Z
2024-01-10T14:49:00Z,internship,STAGE - Data Analyst Numérique Responsable (F/H) - NANTES,"Poste et missions Intégrez le Pôle Excellence Opérationnelle au sein de BPCE Solutions informatiques ! Au sein du pôle Excellence Opérationnelle qui accompagne les projets dans la réalisation des applicatifs de l'entreprise, et notamment au sein de notre celulle  Conception Numérique Responsable  qui a pour objectif d'accompagner les équipes dans la construction d'un Système d'Information plus sobre (en énergie, en ressources), vous aurez en charge, sur la base de réflexions déjà démarrées par le passé, mais qui restent à parfaire, la construction d'un outil (sur la base de briques existantes sur le marché, ou à construire) permettant de mesurer l'empreinte de chacune de nos applications. Cette empreinte doit nous permettre de savoir sur quelles applications, sur quels périmètres, nous devons agir en priorité afin de diminuer l'empreinte carbone du Système Informatique dans son ensemble, et éventuellement fournir de manière automatisée aux équipes des préconisations. Les travaux démarreront en premier lieu sur le périmètre de notre plateforme décisionnelle (Teradata), mais pourront, en fonction de l'avancement, se poursuivre sur nos autres périmètres techniques (applicatifs Web, Middleware...). Cette mission nécessitera des interactions avec de nombreuses personnes dans l'entreprise, et seront conduits en méthodologie agile afin d'adapter au mieux les réalisations aux besoins des utilisateurs et à notre capacité à répondre à ces besoins dans des délais acceptables. En tant que  Data Analyst Numérique Responsable (F/H) , vous aurez pour missions : * Identification des données disponibles (documentation sur Teradata) * Conception des indicateurs * Collecte des données (développement de scripts de collecte de données sur la plateforme) * Nettoyage et transformation des données * Réalisation de dashboards Power BI pour exposer les indicateurs","Banking, FinTech / InsurTech, Finance",Bac +4,Groupe BPCE,"Au sein du Groupe BPCE, venez découvrir un champ des possibles unique pour vous révéler et intégrer une communauté professionnelle multiactivité et multimarque ! Le Groupe BPCE est le deuxième acteur bancaire en France. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine et Oney. Il déploie également au niveau mondial les métiers de gestion d’actifs et de fortune, avec Natixis Investment Managers, et de banque de grande clientèle avec Natixis  Corporate & Investment Banking. BPCE met au service du Groupe, de ses entreprises et de leurs clients, les expertises de ses équipes en charge de la stratégie, de la coordination et de l’animation du Groupe (les entités du pôle Solutions Expertises Financières, les opérateurs informatiques, les fonctions risques, finances, marketing, conformité… incluant l’organe central). ",Saint-Herblain,,2024-01-10T14:49:08Z
2024-01-10T13:19:21Z,full_time,Business Analyst Data,"Visian recherche pour son client grand compte (CAC 40) évoluant dans le secteur énergétique un profil Business Analyst avec un compétence data pour renforcer une équipe constituée de Data engineer, Data Scientist, Testeurs, Scrum master. Le business analyst data interviendra comme une interface incontournable entre les opérationnels et les équipes techniques. Le profil travaillera sur l’écosystème applicatif C3 (API, ETL, webservices, interface mobile/web…). Il s’agit d’une application en back utilisée pour différents traitements/algorithmes. Ses missions sont les suivantes : Recueillir les besoins auprès des métiers Rédiger les US technico fonctionnelles Valider les règles de gestion Analyser et résoudre les cas clients de production, dans le cadre de la MCO (Maintenance en condition opérationnelle) Proposer des évolutions d’amélioration des fonctionnalités existantes Participer aux différents ateliers métiers Suivre l’avancement des développements des US travailler de concert avec les autres membres de l’équipes (Data Engineer, testeur, datascientist…). Tests et recettes Formation des utilisateurs Conduite du changement","Artificial Intelligence / Machine Learning, IT / Digital, Strategy",,Visian,"Visian est une société de conseil spécialisée en innovation, design produit, gestion de projet IT et développement Data. Ses consultants technophiles allient compréhension des enjeux digitaux et vision produit. ",Courbevoie,,2024-01-10T13:19:23Z
2024-01-10T13:52:27Z,internship,Stage - Data analyst risques opérationnels F/H,"Rattaché à la Direction des Risques Opérationnels, le département Incidents et Data Risque Opérationnel (DIDRO) a pour mission de piloter la collecte des incidents et des pertes liées au Risque Opérationnel (fraudes, erreurs d'exécutions, dommages aux actifs…) de l'ensemble des entités de La Banque Postale. Vos missions Au sein du département DIDRO, vous aurez pour mission d'implémenter les reportings existants sur l'outil QlikSense et de proposer/développer des pistes d'amélioration du processus pour faciliter la production des dits reportings. Cette mission implique de : Comprendre le fonctionnement de la base de données SAS, son modèle de données et les besoins auxquels il répond, Comprendre le processus de production des reportings mensuels, de la constitution des indicateurs à la population cible des reportings, Développer et recetter les reportings sous QlikSense, Identifier les axes d'amélioration, d'un point de vue métier comme d'un point de vue technique, en particulier concernant la structure de la base de données, pour faciliter la production des reportings.","Banking, Finance",Bac +5,La Banque Postale,"Une banque où vous étonner. Saviez-vous qu’en 17 ans à peine, La Banque Postale a su se positionner comme 3ème groupe de bancassurance en France ? Humaine et digitale, aujourd’hui, elle accompagne plus de 20 millions de clients, à travers 17000 points de contact de proximité sur tout le territoire et des services digitaux qui simplifient la vie de ses clients au quotidien.  A La Banque Postale, on croit sincèrement que la finance a un sens et qu’elle peut jouer un vrai rôle sociétal : une finance durable, toujours avec l’accessibilité bancaire pour mission. Des engagements qui font de nous la 1ère banque mondiale en matière de RSE et nous différencient des autres banques.",Paris,,2024-01-10T13:52:28Z
2024-01-10T11:05:33Z,full_time,Data Analyst - observabilité métier,"Intégré à l'équipe Support et Assistance de niveau 2 aux URSSAF, vos activités s'intègrent dans le cycle de vie des processus IT de la norme Itil, mis en œuvre par la DSI de l'URSSAF Caisse Nationale (gestion des demandes, des incidents, des problèmes, des changements, observabilité métier …) sur le périmètre applicatif du SI Déclaration Sociale Nominative (DSN). Votre rôle : Garantir le niveau de services attendus aux utilisateurs. Pour y parvenir, voici les missions qui vous seront confiées : * Assurer la supervision fonctionnelle du suivi de la production DSN. * Mettre en œuvre le reporting, les indicateurs et l'alerting autour du suivi de la chaine applicative via la supervision fonctionnelle. * Assurer le support aux métiers à la suite de la mise en production des versions applicatives. * Animer des réunions avec les différents correspondants MOA et MOE autour du MCO (analyser et prioriser les tickets). * Coordonner des plans d'actions auprès d'acteurs transverses aux applications (Equipe de développement, équipe infrastructure, architecte, maîtrise d'ouvrage, utilisateurs, voire organismes extérieures) dans le cadre de la gestion des incidents ou problèmes en production. * Capitaliser et alimenter la base de connaissances. * Devenir référent dans son domaine côté support production (conseiller et accompagner dans l'utilisation optimale du Système d'Information). D'une façon transversale au secteur Back Office applicatif, vous participez au suivi et au reporting des activités du portefeuille applicatif et vous contribuez à l'amélioration des outils et processus de travail afin de maintenir et améliorer les niveaux de services. Au-delà de ces activités, vous pourrez être amenés à représenter l'équipe dans le suivi de certains projets DSI en vue de réaliser des comptes-rendus informatifs auprès des organismes. ",Public Administration,Bac +5,La Sécurité Sociale,"Système de protection universel auquel chacun contribue à la hauteur de ses moyens, la Sécurité sociale accompagne tous nos concitoyens pour les protéger et les accompagner dans tous les moments de leur vie. La Sécurité sociale se compose de cinq grandes branches : La branche Famille aide les personnes dans leur quotidien et développe la solidarité envers les plus vulnérables. La branche Maladie et Accidents du travail-maladies professionnelles permet à chacun de se faire soigner et gère les risques au travail. La branche Retraite suit les carrières des salariés, les aide à préparer leur retraite et verse les pensions. La branche Autonomie aide à l’autonomie des personnes âgées et des personnes handicapées. La branche Recouvrement collecte les cotisations sociales pour les restituer au bénéfice des autres branches. Ce sont elles, ainsi que des régimes spécifiques à certaines catégories de population, qui forment le premier acteur de la solidarité en France. Chaque jour et dans toute la France, les 300 organismes de Sécurité sociale agissent pour améliorer le quotidien de chacun.",Montreuil,,2024-01-10T11:05:35Z
2024-01-10T11:02:19Z,internship,Stage Assistant Data Analyst (F/H),"Le service marketing :  Composé d’une vingtaine de personnes, le service marketing basé à Paris intervient pour développer la notoriété de l’AFP, susciter de l’intérêt pour les offres et les produits de l’AFP, contribue à définir le positionnement et l’évolution des offres, innove et défriche de nouveaux marchés afin d’aider l’Agence à augmenter et diversifier ses revenus, sur tous ses marchés, dans le monde entier. Au sein de ce service, l’unité Data & Performance digitale a notamment pour mission d’analyser des données issues des comportements clients afin de permettre une meilleure prise de décision. Le service investigation numérique :   Depuis son lancement en 2017, la cellule d’investigation numérique de l’AFP s’est développée pour devenir le plus grand réseau au monde de journalistes experts dans ce domaine, confortant l’engagement de l’Agence dans la lutte contre la propagation de la désinformation. A ce jour, l’AFP dispose de plus de 130 journalistes chargés des enquêtes numériques, couvrant plus de 80 pays et publiant en 24 langues, en interaction permanente avec les autres journalistes AFP. Votre rôle : Nous recherchons un(e) stagiaire très motivé, en quête d’un stage qui soit une véritable expérience, dans laquelle il pourra se voir confier des responsabilités à la hauteur de son investissement, avec une aide et un accompagnement managérial quotidien. Au sein de la Direction Commerciale et Marketing de l’AFP, sous la supervision du Data Analyst Marketing et en lien avec l’équipe éditoriale investigation numérique, vos principales missions seront les suivantes : Développer des dashboards de suivi des indicateurs clés déterminés avec l’équipe Marketing et investigation numérique pour permettre le suivi des activités (Power BI et Excel) Produire des analyses ponctuelles Contribuer à la mise en place de connecteurs ainsi qu’à l’intégration de nouvelles sources de données Assurer l’évolution et la maintenance des rapports Power BI Maintenance des fichiers Excel existants Maintenance des Dashboard existants Développer et maintenir les flux Power Automate existants Rédiger la documentation technique et fonctionnelle Ce stage sera gratifié à hauteur de 1000€ bruts / mois",Media,Bac +5,Agence France-Presse,"AFP is a leading global news agency providing fast, comprehensive and verified coverage of the events shaping our world and of the issues affecting our daily lives. Drawing from an unparalleled news gathering network across 151 countries, AFP also is a world leader in digital verification. With 2,400 staff representing 100 different nationalities, AFP covers the world in six languages, with a unique quality of multimedia storytelling spanning video, text, photos and graphics.",Paris,,2024-01-10T11:02:19Z
2024-01-10T10:32:57Z,full_time,Lead Data Analyst (F/H),"Localisation : Boulogne (92100)  Type de contrat : Cadre, CDI  Date de démarrage : dès que possible Si pour vous, faire grandir les relations humaines est un métier, on est fait pour être ensemble ! Ce que l'on vous propose : Attiré(e) par les environnements dynamiques aux forts enjeux business, vous souhaitez rejoindre une équipe engagée, performante et bienveillante, s'inscrivant au coeur de la stratégie de Bouygues Telecom ? Cela tombe bien, la Direction Marketing et Expérience Client de Bouygues Telecom Entreprises, cherche son futur Lead Data Analyst (F/H), afin d'orienter les décisions stratégiques tout en aidant au pilotage des métiers (marketing, commerce, leads, expérience client, …). Ce que vous ferez au quotidien :  Vous intégrerez à cet effet l'équipe « Stratégie, BI et Gouvervance », constituée de 5 collaborateurs, dont la mission est d'identifier les enjeux de Bouygues Télécom Entreprises et de contribuer à y répondre. Dans ce contexte, vos missions principales consisteront à : Réaliser des analyses et présenter des recommandations en comité de Direction Construire et amender des tableaux de bords pour répondre aux enjeux des métiers (Tableau Software) Mettre à dis position des données stratégiques pour Bouygues Télécom Entreprises (SQL sous Treradata et Dataiku Informatica serait un plus) Former et émanciper les collaborateurs à l'utilisation de Tableau Server Piloter des projets de mise à disposition ou d'exploitation de nouvelles données Animer les différents pôles analytiques de Bouygues Télécom Entreprises Aider aux ciblages de campagnes marketing complexes","IT / Digital, Connected Objects, Electronics / Telecommunications",Bac +5,Bouygues Telecom,"Depuis sa création en 1996, Bouygues Telecom met son expertise de la technologie au service d’un idéal : faire grandir les relations humaines. Ses 10 000 collaborateurs sont passionnés par l’innovation dans les nouvelles technologies et animés par l’amélioration constante de l’expérience client.  Bouygues Telecom a une culture forte qui place ses collaborateurs au cœur de sa dynamique et s’engage au quotidien dans leur développement et épanouissement professionnel.",Saint-Michel-de-Boulogne,,2024-01-10T10:32:59Z
2024-01-10T10:11:15Z,full_time,CDI | Data Analyst,"Flatlooker est une start-up en pleine croissance qui révolutionne le marché de l’immobilier ! Ce succès est notamment dû à notre fort penchant pour les analyses :  l’entreprise, fondée par deux ingénieurs, s’appuie au quotidien sur des analyses approfondies et rigoureuses pour prendre des décisions éclairées.   Dans le cadre de la croissance continue de leurs activités, les équipes ont besoin de soutien sur ces sujets ! Rattaché.e à notre Responsable Data, tu travailleras en transverse avec tous nos services (Sales, Marketing, Customer Success, Product).   En accompagnant nos équipes au quotidien sur leurs problématiques liées aux données et en participant aux projets nous permettant d’atteindre nos objectifs business, ton rôle sera clé pour contribuer au succès de l’entreprise. Les projets sur lesquels tu travailleras seront variés et toucheront au marketing, à la performance commerciale, à l’efficacité opérationnelle ou encore à l’usage de notre produit (plateforme web & mobile). 🌟 Les missions🌟 Explorer, nettoyer et analyser les données provenant de nos différentes sources de données (CRM, Plateforme, Outil de ticketing etc.) pour identifier des tendances, des opportunités et des anomalies. Mener des analyses approfondies, d’un côté en collaboration avec les managers des équipes business pour permettre une compréhension plus fine des enjeux d’équipes et améliorer leur productivité ; d’un autre côté, avec notre Product Manager sur le comportement des utilisateurs et la performance de notre plateforme Participer à la rédaction d’articles de presse grâce à des analyses de données pertinentes ciblées sur des thèmes de l’immobilier  Implémenter des tableaux de bord et des rapports périodiques pour les différentes équipes, en mettant en avant des KPIs pertinents; Automatiser au mieux ces rapports pour améliorer l’efficacité opérationnelle. S’assurer de la bonne évolution et de la maintenance de notre stack data Devenir le/la référente des outils internes utilisés au quotidien par les équipes business notamment nos outils de ticketing (Zendesk) et de CRM (Pipedrive) ; Implémenter et configurer de nouveaux outils pour améliorer la productivité des équipes","Commercial Real Estate, Digital",Bac +5,Flatlooker,"Flatlooker est à l’agence immobilière ce que les banques en ligne sont aux guichets de  quartier : RE.VO.LU.TI.ON.NA.IRE ! Chez nous pas de visites physiques et une satisfaction  client au top. Finie la galère pour louer un logement quand vous changez de ville. Finies les files d’attente  pour espérer déposer son dossier. Fini le mardi matin à visiter des biens à 15 serrés dans  les escaliers. Finie la fuite d’eau jamais résolue… Bref une agence comme il devrait en  exister depuis bien longtemps ! 🙌 Nos processus 100% digitaux (visites virtuelles, dépôts de dossiers locatifs en ligne,  signatures électroniques, paiements et gestion des incidents en ligne) nous permettent de  nous concentrer sur l’essentiel : des clients heureux (et ils sont plusieurs milliers à le dire sur  google et trustpilot). ⭐️  Fondé en 2016, Flatlooker révolutionne depuis un marché vieillissant. Nous avons étendu notre service dans les 30 plus grandes métropoles françaises, comptabilisons une dizaine de  milliers de locations dans toute la France.  Nous sommes aujourd’hui les leaders de la gestion locative digitale (loin devant de  nombreux nouveaux concurrents qui se lancent chaque mois) et notre ambition est de détrôner les acteurs traditionnels : nous avons déjà une offre de logement supérieure à des  gros acteurs en région parisienne ! 🚀  L’équipe est actuellement composée de 65 passionnés, répartis en différents pôles : Produit / Technique / Opérations / Sales / Marketing. Afin de poursuivre sa mission, Flatlooker est soutenu par des investisseurs prestigieux (Partech, BPI, Kima Venture…). ",Paris,,2024-01-10T10:11:17Z
2024-01-10T07:57:39Z,full_time,Lead Data Analyst- CDI - F/M,"Intègre notre équipe Data et contribue à une mission stratégique : identifie, analyse et transforme les meilleures sources de données en insights pertinents. Sous la direction du Head of Data, tu seras chargé(e) de piloter les missions suivantes et de manager deux membres de l’équipe data ! Prêt à embarquer ? 🚀 Envie d’en savoir plus sur tes missions ?⚡️ Assurer la maintenance et le développement optimal de nos diverses sources de données. Identifier les besoins commerciaux et stratégiques, puis les traduire en exigences fonctionnelles. Proposer des améliorations significatives pour optimiser nos différents schémas de données (maintenabilité, cohérence, efficacité…) Superviser la création et la maintenance de la documentation (descriptions de tables, définitions d’indicateurs, etc.). Mettre en place des tests rigoureux pour garantir la qualité des données. Être le point de contact essentiel pour la gestion des rapports créés dans Tableau Software (conception, maintenance et évolutions). Apporter un soutien stratégique aux différentes équipes dans leurs besoins d’analyse et de reporting. Encadrer de manière proactive les analystes de données.","Mobile Apps, Connected Objects, Television & Film Production",Bac +5,Molotov,"Molotov est une plateforme de streaming qui révolutionne l’accès à la télévision, disponible sur tous les écrans et appareils connectés. Molotov offre une expérience inédite associant dans une même interface les programmes linéaires et non-linéaires de près de 200 éditeurs et chaînes de télévision. Fondée par JeanDavid Blanc (fondateur d’AlloCiné) et Pierre Lescure (co-fondateur de Canal+), Molotov fait partie de fuboTV, la première plateforme mondiale de streaming de télévision en direct axée sur le sport, depuis décembre 2021. Sélectionnée dans l’indice gouvernemental French Tech 120, parmi le 10 Top Start-ups LinkedIn 2020, et distinguée à quatre reprises ‘‘Meilleure application de l’année’’ par les utilisateurs de l’App Store (Apple), de Google Play (Android) et par AppAnnie, Molotov compte, après 5 années d’existence, plus de 19 millions d’utilisateurs, devenant ainsi le leader français de la distribution de programmes en streaming.",Paris,,2024-01-10T07:57:40Z
2024-01-09T22:03:54Z,full_time,Data Analyst Junior F/H,"Les principales activités seront les suivantes : Analyser et exploiter les données • Transformer la connaissance client en informations permettant de développer l'activité commerciale. • Comprendre les problématiques métiers, et apporter les réponses par l'exploitation des données et des analyses fiables et opérationnelles. • Extraire et formater les données selon les besoins de traitement • Réaliser les analyses de l'identification du besoin à la restitution des résultats • Réaliser les tableaux de bord et reporting : de la conception jusqu'à la présentation et mise à disposition finale. • Optimiser les reportings et tableaux de bord existants. • Garantir la fiabilité et la cohérence des analyses réalisées • Analyser les données : mettre en avant les corrélations, définir les valeurs aberrantes, réaliser les analyses créatrices de valeur, identifier les insights commerciaux, définir les segmentations et scoring client • Analyser, présenter et restituer les résultats et mettre à disposition des rapports d'analyse opérationnels  • Contribuer à la définition et mise en place des indicateurs et au pilotage de l'activité commerciale et de suivi du parcours client  • Réaliser et maintenir les tableaux de bord et les outils de reporting • Coordonner ses activités en lien avec le data manager, les équipes CRM, et principalement avec les fonctions commerciales et marketing. • Définir et mettre en œuvre les segmentations et scoring clients, créateurs de valeur au service de la stratégie et de l'opérationnel. • Être force de proposition et innovant dans les traitements de la donnée. Data management et Data quality • Contribuer à la définition des règles de gestion de nettoyage et de structuration des bases de données (formatage, suppression des doublons,…). • Maîtriser la qualité des données tout au long de leur traitement et mettre en place les indicateurs de pilotage de la qualité des données • Extraire et formater les données selon les besoins de traitement • Collaborer avec le Data Manager, en charge de la qualité des données. • Respecter les process autour de la donnée (actualisation, création, nettoyage,…) Contribuer à l'intégration des acquisitions et des nouveaux utilisateurs, en lien avec les équipes CRM • Reprise des données : préparation et formatage • Gestion des rapports et tableaux de bord • Formation et conduite du changement des nouveaux utilisateurs • Accompagnement des utilisateurs des données, rapports et indicateurs. Représenter la dimension client dans les projets internes • Participer et contribuer à la prise en compte du client dans les ateliers d'expression des besoins et de conception  • Etre l'interlocuteur des équipes techniques IT pour représenter la dimension client • Etre l'interlocuteur connaissance client au sein de l'entreprise -Contribuer à la veille technologique sur les outils d'analyse de données.",IT / Digital,,Docaposte,"Filiale numérique du groupe La Poste,  Docaposte bénéficie d’un positionnement unique sur le marché qui lui permet de répondre de bout en bout à l’intégralité d’un besoin client en agissant sur toute la chaîne de valeur de la donnée pour créer une chaîne de confiance unique. Son métier est d’imaginer, concevoir et d’opérer des solutions numériques et des plateformes de confiance qui simplifient et sécurisent les échanges BtoBtoC pour ses clients entreprises et administrations.  Docaposte s’appuie sur 4 grands savoir-faire :   services de confiance  (édition de solutions logicielles documentaires et de briques de confiance propriétaires - SaaS-, services de Data et plateformes d’échanges)  conseil et expertises Data  (prestations d’audit et de conseil, ingénierie IT et expertise digitale)   back office numérique  (externalisation de processus métiers, sectoriels ou documentaires )  industriel  (éditique industrielle, traitement des chèques, gestion de salles courrier)  Docaposte prône des valeurs fortes, telles que la protection de la vie privée, la sécurité des données, la souveraineté et la responsabilité en matière de protection de l’environnement,  en concevant ses solutions de manière éco-responsable pour créer des solutions durables pour le monde numérique, en respectant des principes éthiques très exigeants et dans un souci d’inclusion de la population.  Aujourd’hui, Docaposte c’est : 🥇 une position de leader dans le numérique de confiance …  1er dans le vote électronique  1er dans l’archivage numérique  1er opérateur français de signature électronique  1er hébergeur de données scolaires (avec Pronote)  1er opérateur de lettres recommandées électroniques (avec AR24)   1er opérateur de données de santé avec 45 millions de dossiers patients  40 000 entreprises et administrations publiques clientes de ses services et solutions  6ème acteur de la confiance numérique en France en  chiffre d’affaires selon le classement de l’Observatoire de la Filière de la Confiance Numérique et dans le top 10 au sein du classement mondial (édition 2023)  10ème au Truffle 100, classement des éditeurs de logiciels français (édition 2023)  … et une entreprise dynamique portée par ses talents ! 🧑‍💼 + de 7 500 collaborateurs  🏢 86 sites partout en France  🌍 17 pays (3 continents)  🎯 Notre objectif d’ici 2030 ? Devenir un des leaders technologiques européens de la souveraineté et de la confiance, pionnier d’un numérique éthique, responsable et humaniste.",Ivry-sur-Seine,,2024-01-10T22:03:53Z
2024-01-09T18:32:30Z,full_time,Data Analyst Senior H/F,"Barrière, c’est 33 Casinos, 1 Club de Jeux, 19 Hôtels, plus de 120 Restaurants et Bars, 15 Spas, 3 Golfs, 2 Tennis Club, 1 Balnéo, 1 Thalasso. Barrière, c’est aussi 50 métiers incarnés par près de 7000 collaborateurs, en France et à l’international. Et par vous aussi demain       Contexte & Lieu de travail, pour briller en entretien Barrière est à la recherche d’un(e) Data Analyst, sous la responsabilité de notre Responsable de Domaine et Projets Data, rattaché(e) à la Direction Data et Acquisition.     Vos missions si vous l’acceptez Le/la Data Analyst Senior sera en charge du bon recueil et de l’analyse des données de l’entreprise pour l’ensemble des activités du groupe, d’exploiter et interpréter les données pour en dégager les observations business utiles. Il/elle est chargé(e) : - De participer à la compréhension des besoins métiers et à la définition d’approches data centric pour répondre au mieux aux besoins de nos équipes métiers (Marketing, Hôtel, Casino & Restauration) ; - Des analyses exploratoires des données pour identifier des tendances ainsi que des relations entre variables ou autres enseignements ; - D’accompagner les métiers dans l’interprétation de ces analyses ; - De la conception et du développement d’outils statistiques et de reportings pour permettre l’analyse et la mesure de performance de nos métiers ; - De travailler en étroite collaboration avec les équipes Marketing et CRM afin d’enrichir et de personnaliser la relation avec nos clients (scores client, campagnes personnalisées, …). En lien permanent, une équipe pluridisciplinaire constituée de Data Scientist, Data Analyst et Data Engineer fonctionnant en méthode Agile, le data Analyst devra : - Documenter et partager régulièrement ses travaux avec le reste de l’équipe ; - Communiquer les résultats obtenus à des publics techniques et non techniques.","Luxury, Hotel, Leisure, Foodservice",Bac +5,Barrière,"Chaired by Alexandre Barrière and Joy Desseigne-Barrière, the Barrière group was founded in 1912 by François André and developed successively by Lucien Barrière, Diane Barrière and Dominique Desseigne. Barrière operates 32 Casinos, 1 Gaming Club, 19 luxury hotels, over 140 restaurants & bars, including the Fouquet’s brand, 16 spas, 1 thalassotherapy center at La Baule, 1 balneotherapy center in Ribeauville, 3 golf courses and 2 tennis clubs. In addition, the Group offers some 3,500 shows and events every year. Barrière’s turnover was 1.29 billion euros at the end of its financial year on 31st October 2022, and it comprises almost 7,000 employees.",Paris,,2024-01-09T18:32:31Z
