intitule,description,date_publication,date_modif,contrat,competences,duree_travail,type_contrat,secteur_activite,agence,niveau_etudes,salaire,entreprise,description_entreprise,ville,code_postal
Data analyst (H/F),"Ax&eacute;r&eacute;al : un groupe coop&eacute;ratif agricole et agroalimentaire fier de ses racines locales et de son implantation mondiale.

 Rejoignez le groupe Ax&eacute;r&eacute;al et ses filiales pour prendre part &agrave; notre ambition collective : transformer durablement le mod&egrave;le agricole et alimentaire dans un contexte dynamique et stimulant.

 Engagez-vous aux c&ocirc;t&eacute;s de 11 000 agriculteurs collectivement associ&eacute;s et de 4 000 collaborateurs dans des projets innovants et ambitieux.

 Evoluez dans un groupe international - 18 pays - aux activit&eacute;s multiples - Malt, Meunerie et Alimentation animale - et qui r&eacute;alise un chiffre d'affaires de 4,3 milliards d'euros.

 Rencontrez des managers qui vous feront confiance et vous permettront de vous &eacute;panouir dans un contexte de travail propice &agrave; l'esprit d'initiative et &agrave; l'autonomie.

 Convaincu ? Alors, apportez votre contribution en candidatant ci-dessous en quelques clics et d&eacute;crochez un poste qui a du sens !

 Dans le cadre de sa politique diversit&eacute;, Ax&eacute;r&eacute;al &eacute;tudie, &agrave; comp&eacute;tences &eacute;gales, toutes candidatures dont celles de personnes en situation de handicap.

 Rattach&eacute; &agrave; la Direction Syst&egrave;mes d'Information (DSI), vous int&eacute;grez une &eacute;quipe de 4 personnes. Votre r&ocirc;le, consiste mettre en place la collecte et la mise &agrave; disposition des donn&eacute;es au sein de l'entreprise, &ecirc;tre en charge d'industrialiser et mettre en production des traitements sur les donn&eacute;es (par exemple : mise &agrave; disposition de tableaux de bord, int&eacute;gration de mod&egrave;les statistiques) en lien avec les &eacute;quipes m&eacute;tiers et les &eacute;quipes qui les analysent.

 C'est un r&ocirc;le central et tr&egrave;s important, situ&eacute; au coeur de notre d&eacute;veloppement ! Le Data Engineer est le maillon essentiel pour fournir les donn&eacute;es fiables aux m&eacute;tiers leur permettant de cr&eacute;er leurs nouveaux produits et services.

 Les missions sont compos&eacute;es des actions suivantes ;

 Acheminement de la donn&eacute;e ;

 * Recueillir les besoins m&eacute;tiers des diff&eacute;rentes unit&eacute;s demandeuses et utilisatrices de solutions de collecte et stockage de la donn&eacute;e.

 * D&eacute;velopper les solutions techniques de collecte de la donn&eacute;e via des API.

 * D&eacute;velopper des solutions techniques de stockage de la donn&eacute;e (Hadoop).

 * R&eacute;aliser les tests unitaires et d'int&eacute;gration.

 * Mettre en place et maintenir les batchs, c'est-&agrave;-dire les automatisations d'une s&eacute;rie de traitements.

 Mise &agrave; disposition des donn&eacute;es aux &eacute;quipes utilisatrices ;

 * Industrialiser et automatiser le nettoyage de la donn&eacute;e selon les sp&eacute;cifications retenues.

 * G&eacute;rer, maintenir et documenter de multiples bases de donn&eacute;es (via l'importation de donn&eacute;es externes en open data ou de donn&eacute;es internes par exemple).

 * G&eacute;rer le cycle de vie de la donn&eacute;e conform&eacute;ment aux directives inscrites dans le RGPD.

 * Assurer le suivi de production et la maintenance.

 Mise en production de mod&egrave;les statistiques dans les applications ;

 * D&eacute;velopper l'industrialisation de mod&egrave;les statistiques ou de machine learning.

 * Impl&eacute;mentation du suivi de la validit&eacute; du mod&egrave;le statistique.

 * Assurer le suivi de production et la maintenance.

 Suivi des projets de d&eacute;veloppement ;

 * &Eacute;tablir les sp&eacute;cifications techniques &agrave; partir de l'analyse des besoins.

 * Reporter l'activit&eacute; aupr&egrave;s du chef de projet. Autres activit&eacute;s &eacute;ventuelles ;

 * Automatiser la cr&eacute;ation de tableaux de bord aux &eacute;quipes m&eacute;tiers (envoi de fichiers via des applications d&eacute;di&eacute;es).

 * Assurer une veille technologique sur les outils big data.

 * &Eacute;crire la documentation relative aux bases de donn&eacute;es (r&egrave;gles de gestion, dictionnaire des variables&hellip;).

 Dans le cadre de sa politique diversit&eacute;, le groupe Ax&eacute;r&eacute;al &eacute;tudie, &agrave; comp&eacute;tences &eacute;gales, toutes candidatures dont celles de personnes en situation de handicap.
 
 De formation Bac+5 &eacute;cole d'ing&eacute;nieur orient&eacute; d&eacute;veloppement, ou master sp&eacute;cialis&eacute; en data, avec une sp&eacute;cialisation Big Data, vous &ecirc;tes passionn&eacute; par l'innovation et les technologies li&eacute;es aux domaines Data Analytic",2023-12-26 15:42:31+00:00,2023-12-26 15:42:31+00:00,CDI,,,,,,,,,,45 - Loiret,
DATA ANALYST (H/F),"Recherche: DATA ANALYST (H/F)
Quelques éléments de contexte
Au sein de Limagrain IT, le département Système d'Information Scientifique (SIS) développe les outils informatiques utilisés par la Recherche au sein des Business Units dédiées à la recherche sur les semences de Grandes Cultures et Potagères.
Ces applications permettent, par exemple :
* pour les chercheurs ou sélectionneurs : la notation des plantes dans les champs, le suivi de la généalogie ou bien la prise de décision
* pour les laboratoires : de gérer les résultats génétiques ou bien leurs tests de pathologies .
Comment cela se traduit concrètement
Vous intègrerez une équipe d'une quinzaine de personnes composée de développeurs et lead développeurs. Rattaché(e) à Simon, Responsable Equipe Technique, vous aurez l'opportunité de contribuer de manière significative à des projets de recherche de pointe au sein d'une équipe dynamique. Nous opérons dans un environnement collaboratif et innovant, utilisant le framework SA...",2023-12-25 07:35:54+00:00,2023-12-25 07:35:54+00:00,CDI,,,,,,,,,,63 - CHAPPES,63720
DATA ANALYST (H/F),"Recherche: DATA ANALYST (H/F)
Notre client, acteur incontournable et leader de son marché en France, recherche un Data analyst confirmé pour joindre ses équipes dans le Grésivaudan. Leader incontesté sur son secteur, notre client compte 400 personnes sur son site grenoblois. Vous rejoignez l'équipe Data & Analysis où vous travaillez en étroite collaboration avec l'ensemble des parties prenantes : Les équipes commerciales, informatiques, projets, ainsi que l'équipe Analytics du Groupe. Directement rattaché au Responsable Data, vous intervenez dans : La conception, le développement, la mise en place des tests des systèmes qui fournissent des rapports et des analyses,Le recueil et extraction des sources de données pertinentes et de qualité qu'il traduit ensuite en données statistiques,La mise en place de process / requêtes et automatisation,La création de dashboards, mise en place de KPIs et reporting des performances pour donner une vision cohérente des résultats aux différentes équ...",2023-12-25 07:35:41+00:00,2023-12-25 07:35:41+00:00,CDI,,,,,,,,,,38 - CROLLES,38920
DATA ANALYST (H/F),"Recherche: DATA ANALYST (H/F)
Vous intègrerez le pôle Data (20 personnes) tout en étant très proche de la partie production. Le pôle Data, au fonctionnement agile, est composé de cinq personnes : Un Chief data officer, une Data Analyst (alternante), deux Data Engineer et un Data Enthousiast. Son objectif est de développer et valoriser l'utilisation de la data de l'entreprise
Votre Mission :
* Analyser les données, produire des supports d'aide à la décision
* Construire et faire évoluer les rapports PowerBI
* Elaborer des tableaux de bord décisionnels et outils de reporting
* Aider à construire et structurer l'organisation des espaces de travail et des applications PowerBI
* Accompagner la montée en compétences des collaborateurs
Stack technique : Power BI, Power Query, SQL, outils modélisation data
* Vous êtes minimum titulaire d'un bac +3 dans l'informatique
* Vous avez au minimum 2 ans d'expérience sur un poste similaire
* Power BI n'a plus de secret pour vous
* Vous êtes ri...",2023-12-25 07:35:29+00:00,2023-12-25 07:35:29+00:00,CDI,,,,,,,,,,74 - BONS EN CHABLAIS,74890
DATA ANALYST (H/F),"Recherche: DATA ANALYST (H/F)
Vous rejoignez l'équipe Data & Analysis où vous travaillez en étroite collaboration avec l'ensemble des parties prenantes : Les équipes commerciales, informatiques, projets, ainsi que l'équipe Analytics du Groupe.
Directement rattaché au Responsable Data, vous intervenez dans :
* La conception, le développement, la mise en place des tests des systèmes qui fournissent des rapports et des analyses,
* Le recueil et extraction des sources de données pertinentes et de qualité qu'il traduit ensuite en données statistiques,
* La mise en place de process / requêtes et automatisation,
* La création de dashboards, mise en place de KPIs et reporting des performances pour donner une vision cohérente des résultats aux différentes équipes,
* La gestion des outils d'analyses pour que les décideurs internes et les clients puissent suivre l'évolution de leurs produits,
* La veille technologique des nouveaux outils visant à l'améliorer l'analyse des données.
Titulaire...",2023-12-25 05:43:19+00:00,2023-12-25 05:43:19+00:00,CDI,,,,,,,,,,38 - CROLLES,38920
Data analyst (H/F),"Description du poste :
Notre client est un acteur majeur dans l'industrie automobile, dans un contexte de croissance, il recrute un Data Analyst F/H afin de renforcer ses équipes présentes sur site.
 
Directement rattaché au Manager Technique, le Data Analyst F/H a pour rôle de contrôler, d'analyser, de développer et de maintenir la données à destination des équipes business.***Vos principales responsabilités seront de :
Identifier et corriger les problèmes de qualité des données (valeurs manquantes, erreurs).***Assurer la cohérence et la fiabilité des données pour les analyses ultérieure
* Utilisation d'outils statistiques pour découvrir des tendances et des modèles.
* Création de visualisations pour présenter des conclusions claires.
* Développement de modèles prédictifs pour aider aux décisions.
* Collaboration avec différentes équipes pour répondre à leurs besoins en données
* Créer des graphiques, des tableaux de bord ou des rapports visuels pour représenter les conclusions.
* Faciliter la compréhension des données complexes par des représentations visuelles.
* Se tenir au courant des nouvelles technologies et des tendances en analyse de données.
* Améliorer continuellement les compétences pour rester pertinent dans le domaine.
Connaissances techniques :***Exam PL-300: Microsoft Power BI Data Analyst
* SQL & nonSQL
* Data quality
* Azure, Databricks, Semarchy, Talend
Description du profil :
Idéalement issu d'un formation technique spécialisée dans la modélisation de données , vous avez de bonnes capacités communicatives et d'écoute. Vous avez de solides compétences analytiques et aptitude à résoudre des problèmes et idéalement des connaissances dans tomoble secteurs de l'industrie auile",2023-12-23 13:47:31+00:00,2023-12-23 13:47:31+00:00,MIS,,,,Activités des agences de travail temporaire,,,,,"Fyte, société de Morgan Philips Group, est spécialisé dans le sourcing, l'évaluation et le recrutement en intérim, CDD et CDI de talents. Chacun de nos consultants est ultra-spécialisé par secteurs et par fonctions. Fyte accompagne et conseille ses clients dans leurs projets de recrutements en s'appuyant sur des processus de sourcing et de sélection de talents en combinant l'humain et le meilleur de la technologie.",92 - NANTERRE,92000
Data analyst (H/F),"Description du poste :
Description de l'entreprise
Responsable du pilotage de la performance financière et de l'impact positif, le/la data analyst Finance & Impact occupe un poste clé alliant finance, stratégie et data analytics
Epiktet est un groupe de plus de 15 000 salariés détenant et gérant opérationnellement un portefeuille de marques et d'activités à impact sociétal (dans le soutien scolaire, la petite enfance et la silver economy).
Nous recherchons un profil intéressé par la data et le pilotage stratégique de ces activités (autour des données opérationnelles, financières et d'impact).
Pour ce faire nous nous appuyons aujourd'hui sur une architecture moderne combinant principalement SQL, AIRBYTE, BIG QUERY, DBT et POWER BI.
Vous êtes passionné par la modélisation financière et opérationnelle, aimez construire des outils permettant l'analyse et le pilotage de la stratégie du Groupe. Vous partagez notre ambition d'allier impact et performance économique. Notre activité est en forte croissance et nous réalisons actuellement des acquisitions significatives. Dans ce contexte, nous recrutons aujourd'hui plusieurs profils ""Data"" et notamment un Finance & Impact Data Analyst.
Description du poste
Immergé(e) au sein de l'équipe Finance & RH et reportant directement à notre CFO du Groupe, le (la) Finance Data Analyst aura pour missions :***de modéliser les prévisions financières et de simuler les opérations stratégiques ;
* d'analyser les performances, de proposer des plans d'actions et de suivre leur application ;
* de construire des outils de visualisations synthétiques et pertinentes alliant opérations, RH et finance au travers de dashboards ;
* de travailler au quotidien avec les équipes opérationnelles et l'ensemble des data analystes / data engineers du groupe pour faciliter la prise de décision analytique et accroitre leur valeur ajoutée ;
* de contribuer aux évolutions de data model.
Qualifications
De formation bac+5 (école de commerce, d'ingénieur ou master) avec une spécialisation FP&A ou/et data analysis et témoignant d'une première expérience à ce poste dans des fonctions similaires ou en cabinet de conseil:***vous avez déjà travaillé sur Power BI ou équivalent (Qlik, Anaplan, Tableau, Metabase, etc.)
* vous avez des connaissances solides en finances et gestion d'entreprise
* vous maîtrisez SQL / êtes familier avec DBT / Big Query et l'environnement Google Cloud
Au delà de ces compétences vous êtes autonome, rigoureux, curieux et avez soif de communiquer votre passion pour les chiffres au plus grand nombre.
Informations supplémentaires
40 à 60 K selon le profil.",2023-12-23 13:45:43+00:00,2023-12-23 14:53:11+00:00,CDI,,,,,,,,,"Kinougarde, leader de la garde d'enfants à domicile, est spécialisé dans la sortie d'école et la sortie de crèche.
En nous rejoignant, vous intégrez une entreprise en très forte croissance depuis sa création en 2010. Vous intégrerez une structure toujours en mouvement qui utilise les nouvelles technologies pour contribuer à son développement.",75 - PARIS 09,75009
Data Scientist / Data Analyst (H/F),"Les Risques Non financiers sont au cœur des préoccupations du Groupe par le coût qu'ils engendrent et les contraintes réglementaires fortes s'y attachant. Ils découlent de la défaillance d'un processus, du personnel, d'un système interne ou d'un événement extérieur.

Dans le cadre de l'évolution de son organisation, la direction des Risques Non Financiers et du Contrôle Permanent s'est doté d'un datalabDatalab dont la mission est de construire, mettre à disposition et produire des analyses de Risques destinées à l'ensemble des acteurs du Groupe concernés par ces problématiques.

Les activités liées à la gestion des Risques Non Financiers et du Contrôle Permanent sont en profonde transformation, en lien avec l'extension des capacités de stockage, de calcul et de traitement des données.

Nous vous proposons de rejoindre le Datalab des Risques Non-Financiers en qualité de Data Scientist / Data Analyst.

Concrètement, vous serez amené(e) à :

 * Porter un sujet orienté « recherche et développement » sur la gestion des Risques Non Financiers avec l'apport de la science des données (détection de signaux faibles, création d'indicateurs avancés de risque, développement de modèles de prédiction, exploitation de données internes et externes, .).
 * Contribuer, en collaboration avec les autres Data Scientists et les équipes IT dédiées, à la mise en œuvre des solutions envisagées pour répondre aux besoins métiers exprimés (identification et organisation de la collecte des données, développement des modèles/algorithmes, mise en production, communication des résultats et des analyses, .).
 * Participer à des activités transverses, que ce soit au niveau du datalab ou plus globalement des fonctions risques du groupe (définition de l'offre de service du datalab, sensibilisation/formation des métiers, veille technologique, .).
* Vous préparez un BAC+4/5 en école d'ingénieur/université/école de commerce avec une spécialisation en sciences des données (informatique, mathématiques/statistiques, .).
 * Vous avez des connaissances en informatique et vous maîtrisez un langage de programmation (Python ou R) et de gestion de bases de données (SQL, SAS, .).
 * Vous avez une première expérience en traitement du langage naturel / NLP.
 * Vous êtes curieux(se) et vous avez un intérêt pour le secteur bancaire qui vous pousse à comprendre les activités dont vous travaillez les données.
 * Vous faites preuve à la fois d'une autonomie dans votre activité, d'un goût pour le travail en équipe et votre sens de la rigueur et votre orientation résultat ne sont pas à démontrer !
 * Vous êtes à l'aise pour communiquer sur vos analyses ; pédagogue, vous savez vous adapter à vos interlocuteurs.
 * Vous aimez résoudre des problèmes pour lesquelles il n'y a pas de solution évidente.
 * You're fluent in english ! Vous êtes notre candidat(e) idéal(e) !",2023-12-23 10:03:36+00:00,2023-12-23 10:03:36+00:00,CDD,,35 H,Temps plein,Autres activités informatiques,,,,Societe Generale,"Société Générale, un des tout premiers groupes européens de services financiers et acteur important de l'économie depuis plus de 150 ans, accompagne au quotidien 30 millions de clients grâce à ses 133 000 collaborateurs présents dans 61 pays.",92 - PUTEAUX,92800
Data Analyst H/F,"Dans son ambition de contribuer à la Stratégie de l'Entreprise et de se projeter sur la labélisation RFAR (Relations Fournisseurs et Achats Responsables) la DH2A poursuit et promeut sa démarche d'amélioration continue de ses achats.
Au service de cette trajectoire, le Pôle Support a pour principal objectif la mise à disposition des outils et données, contribuant à l'amélioration continue des activités achats, approvisionnements, support de la DH2A et leur pilotage.

En collaboration avec tous les membres de l'équipe, vos missions principales seront de :
Comprendre, recueillir, analyser les enjeux et challenger les besoins métier au service du pilotage de l'efficacité opérationnelle, économique tout en veillant à la maitrise des risques ;
Suivre les objectifs au regard du réalisé, analyser les écarts, identifier les opportunités d'amélioration et dégager des recommandations stratégiques et proposer des plans d'actions ;
Rechercher les sources de données pertinentes afin d'accompagner la DH2A dans la mise en oeuvre et l'évolution des processus métiers pour répondre entre autres aux exigences de la labellisation RFAR ;
Assurer la fiabilisation et la cohérence entre les informations demandées et celles obtenues au croisement des divers outils opérants et des règles de gestion fonctionnelles ;
Être force de proposition dans les analyses de données, la définition des KPI en adaptant les formes de leurs représentations pour assurer le suivi de la performance globale Achat ;
Mettre en oeuvre les solutions retenues et accompagner les collaborateurs dans l'appréhension de ces solutions ;
Contribuer également aux activités transverses de conseil, études et projets du Pôle Support et de notre direction en étroite collaboration avec tous les membres de l'équipe.
De formation supérieure en Big data et / ou gestion de la donnée (bac +4 / 5), vous maitrisez la manipulation des bases données ainsi que les outils d'extraction, d'analyse et de présentation (power BI, alteryx, spotfire, SQL, langage de programmation python).
Idéalement vous avez au moins une 1ère expérience dans le domaine achat / approvisionnement qui vous permet d'en comprendre les enjeux.
Vous démontrez de bonnes capacités d'exploitation de la donnée, de regards critiques sur sa qualité et de compréhension de sa provenance.
Votre sens du service, votre écoute active et votre pragmatisme vous permettent d'être force de proposition.
Vous êtes curieux(se), ouvert(e) d'esprit, créatif(ve) pour vous travailler en équipe avec des métiers différents est une force. Pour autant, vous savez travailler en autonomie.
Vous êtes positif(ve), proactif(ve), et votre esprit d'équipe font de vous un acteur à part entière de votre collectif.

Vous vous reconnaissez ? N'hésitez plus, postulez",2023-12-23 10:03:00+00:00,2023-12-23 10:03:00+00:00,CDD,,,,Autres assurances,,,,MAIF,"Acteur majeur de l'assurance en France, MAIF défend une autre idée de l'économie et a développé un modèle mutualiste centré sur l'humain. Travailler à la MAIF, c'est rejoindre une entreprise qui place l'expérience de ses sociétaires et de ses salariés au coeur de ses actions. C'est évoluer dans un environnement favorisant votre épanouissement et dans une entreprise qui vous permet de vous engager pour l'avenir. MAIF porte au quotidien la diversité et l'égalité des chances.",79 - NIORT,79000
Business Data Analyst - Data Wranglers H/F,"POSTE : Business Data Analyst - Data Wranglers H/F
DESCRIPTION : Le profil de Data Analyst en Risque de Crédit sera positionné dans l'équipe data du département « Modèle » (RISQ/MDL) de la Direction des Risques.

Notre équipe collecte, organise et évalue les données de manière à alimenter efficacement les modèles de risque de crédit.

Elle fournit aux équipes de modélisation et de validation des services de qualité autour des données, dans l'objectif commun d'avoir un dispositif pertinent et performant relatif aux modèles de risque de crédit du Groupe Société Générale.

Au sein de l'équipe, vous serez rattaché au pôle responsable de la qualification et de l'approvisionnement des données.

Votre mission sera principalement axée sur la manipulation des données pour les rendre utilisables par les équipes de Data Scientists RISQ et leur permettre ainsi de se concentrer sur le développement des modèles plutôt que sur la gestion des données brutes.

Vous contribuerez au développement des usages par votre rôle clé.

Concrètement, vous serez amené à :
-  Collecter de données : Identifier, collecter et consolider des données provenant de diverses sources, y compris des fichiers, des bases de données, de sources interne et externes etc.
-  Nettoyer les données : Pré- traiter les données pour corriger les erreurs, les doublons, les valeurs manquantes et aberrantes pour garantir la qualité des données
-  Transformer les données : Convertir les données brutes en un format approprié pour les data leader, en effectuant des opérations telles que la normalisation, la fusion de jeux de données, la création de nouvelles variables, etc.
-  Gérer les données : Organiser, stocker et gérer les données de manière qu'elles soient facilement accessibles aux data engineers
-  Sécuriser les données : Assurer la sécurité des données en respectant les normes de protection des données et les réglementations en vigueur
-  Analyser les données : Utiliser des techniques statistiques et informatiques pour analyser les données, identifier des tendances, des relations
-  Interpréter les résultats : Expliquer les conclusions tirées des données et fournir des recommandations aux data leaders/engineers
-  Mettre en place des processus d'automatisation pour simplifier la collecte et la gestion des données
-  Collaborer : Travailler en étroite collaboration avec les équipes métier des BU, les data leader, les équipes d'audit, d'informatique, de gestion de projet etc.
-  Documenter : Fournir une documentation détaillée sur l'origine des données, les méthodes de nettoyage et de transformation, afin de garantir la traçabilité et la reproductibilité des analyses
PROFIL : -   Vous êtes diplômé d'un Bac +5 (École d'ingénieur ou équivalent universitaire) avec une spécialisation en statistiques
-   Vous maîtrisez Dataiku et les langages de programmation Python, SAS et SQL
-   Vous disposez d'une expérience de minimum 4 ans au sein d'une banque, auprès d'un régulateur, d'une agence de notation ou d'un cabinet de conseil, qui vous a permis d'acquérir des connaissances en modélisation des risques bancaires
-   Vous détenez de solides connaissances bancaires sur le processus de risque de crédit (octroi, défaut, recouvrement)
-   Vous avez des notions des grands principes de modélisation des paramètres de risque de crédit
-   Vous êtes curieux des langages informatiques, notamment SAS et le langage Python
-   Vous êtes capable d'évoluer dans un environnement international et anglophone",2023-12-23 03:07:47+00:00,2023-12-25 18:03:26+00:00,CDI,,,,Autres intermédiations monétaires,,,,,"Chez Société Générale, nous sommes convaincus que vous êtes le moteur du changement, et que le monde de demain sera fait de toutes vos initiatives, des plus petites aux plus ambitieuses.

Aux 4 coins du monde, que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d'avoir un impact positif sur l'avenir. Créer, oser, innover, entreprendre font partie de notre ADN.

Si vous aussi vous souhaitez être dans...",Ile-de-France,
Data analyst (H/F),"Viveris est un groupe de conseil et d'ingénierie spécialisé dans la conduite et la réalisation de projets dans les domaines de l'informatique et de l'électronique.

S'engager avec Viveris, c'est l'assurance de relever des défis techniques et humains tout en travaillant sur des projets innovants dans un environnement collaboratif et solidaire. 

        Contexte de la mission :


Viveris pilote les chantiers de transformation métier et IT qui contribuent à la performance des entreprises du Retail.

Dans ce cadre, nous recherchons notre Data Engineer, qui interviendra à destination des enjeux PREVISIONS et REAPPROVISIONNEMENT, dans un framework agile, et en particulier sur un produit neuf de validation des propositions de commandes.


Vos missions et responsabilités :

En tant que Data Engineer, au sein de la Squad DATA consacrée au produit en question, vous assurerez les responsabilités suivantes :

 - Participer aux rituels agiles de l'équipe ;
 - Analyser les besoins des utilisateurs et proposer des solutions innovantes et en phase avec les drivers de l'entreprises ;
 - Développer les solutions data (Alimentation, stockage, modélisation, restitution) ;
 - Améliorer et optimiser le patrimoine actuel et maintenir les solutions existantes (Run) ;
 - Contribuer à la construction du nouveau socle et des services sur la plateforme Google Cloud ;
 - Accompagner et acculturer les métiers sur les bonnes pratiques de l'exploitation de la Data.


  
 Profil recherché :


 - De formation bac +4/5, vous disposez d'une expérience technique de 2 à 3 ans dans la modélisation et les pratiques de collecte et de mise à disposition de données ;
 - Vous savez faire preuve d'organisation, de rigueur et avez un sens d'analyse ;
 - Votre expertise technique concerne : SQL/BigQuery, Kafka ;
 - Power BI, Data Studio, Looker peut se révéler utile ;
 - Anglais Professionnel.



Nos avantages :

 - Rémunération attractive et évolutive, mutuelle familiale à garantie haute ;
 - Tickets restaurant pris en charge à 60%, 100% titre de transport urbain remboursé ;
 - Primes d'intéressement, de participation et de cooptation ;
 - 2 jours de télétravail par semaine ;
 - Formation continue avec Linkedin Learning et nos communautés techniques.",2023-12-22 17:50:01+00:00,2023-12-22 17:50:01+00:00,CDI,,,,Conseil en systèmes et logiciels informatiques,,,,VIVERIS,,59 - LILLE,59000
Data analyst (H/F),"Votre agence Domino RH Staff Bordeaux, un Assistant Data H/F dans le secteur de l'évènementiel à Casseneuil.

Rattaché(e ) au sein du service data marketing, vos principales activités seront :
- Gérer des bases de données visiteurs et exposants (création de contacts, mises à jour, etc.)
- Créer et suivre les exports/imports de données en base
- Utilisation de requêtes permettant d'interroger la base
- Assurer le contrôle de la cohérence et de la qualité des données de la base
- Être en relation avec les différents services de l'entreprise (Marketing, ADV, etc.)
- Assistance et formation auprès des utilisateurs (création des comptes, paramétrage)
  
 Bac + 2 type DUT BTS avec une 1ère expérience souhaitée dans le domaine de la gestion de données
Bonne maitrise des outils de bureautique (word, excel, powerpoint)
Bonne compréhension du fonctionnement d'une base de données
Bonnes compétences en informatique et capacité à appréhender de nouveaux logiciels
Rigueur, à l'écoute, capacité à être autonome, sens des priorités
La maitrise de l'anglais serait un plus.",2023-12-22 17:42:09+00:00,2024-01-01 16:44:14+00:00,MIS,,,,Activités des agences de travail temporaire,,,"Horaire de 11,65 Euros à 13,00 Euros",Domino RH Staff Bordeaux,,47 - CASSENEUIL,47440
"Data Analyst Export F/H - Système, réseaux, données (H/F)","Descriptif du poste:


Pour accompagner la croissance du e-Commerce à l'international, la Direction des Opérations Internationales (DOI) a pour mission d'améliorer l'expérience client et la compétitivité des offres.Au sein de la DOI, vous avez en charge les outils de pilotage de la supply chain, proposez et mettez en œuvre les outils d'aide à la décision : Organiser et piloter les échanges de données :Pilote les échanges de données entre les parties prenantes : centres opérationnels, opérateurs de transport et postes étrangèresEst moteur sur le développement d'outil de supervision métier notamment sur l'absence de transmission d'informationAnalyse les dysfonctionnements en coordination avec les équipes SI ou techniques de La Poste  et les partenaires externesGarantir l'efficience opérationnelle et la satisfaction client :Est force de proposition sur la mise en place d'outils dédiés basés sur des technologies innovantesIdentifie les impacts clients ou impacts pour la Poste des écarts ou des situations spécifiques rencontréesLance les plans d'actions en partenariat avec les équipes de la DOI, des opérations et des partenaires du transportAssurer la veille règlementaire sur la Data : Est porteur du changement des normes et règlementations pour La Poste Accompagne les parties prenantes  et s'assure de la faisabilité et de la compréhension des enjeux techniquesParticipe aux instances internationales Poste basé à Paris 15.

Profil recherché:


* Anglais professionnel indispensable* Esprit de synthèse* Capacité analytique.
Diplômé d'un Bac + 5 ""DATA"", vous possédez une expérience de minimum 5 années dans la logistique ou les SI associée idéalement à une expérience en management de projet.",2023-12-22 08:58:05+00:00,2023-12-22 08:58:05+00:00,CDI,,,,Autres activités de poste et de courrier,,,,La Poste,"La Poste Groupe change, nos métiers évoluent.
Etre toujours au plus près des Français, développer la confiance dans le numérique et être acteur de la transformation écologique, c'est aussi le sens de notre métier.
Rejoindre La Poste Groupe, c'est rejoindre une entreprise responsable, riche de ses 238 000 collaborateurs !
Pour l'égalité des chances, La Poste fait vivre la diversité. Nos postes sont ouverts à tous.
Vous aussi, engagez-vous à nos côtés pour donner du sen...",75 - PARIS 01,75001
